cuisine,location,headline,menu_url,file_path
Indian, Upper West Side, Anār,,
French, West Village, Bobo,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/39484-Bobo-menu.pdf,menu_urls/bobo.pdf
French, Midtown West, Gaby Brasserie,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/28930-GabyBrasserie-menu.pdf,menu_urls/gaby-brasserie.pdf
French, Boerum Hill, French Louie,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/39050-FrenchLouie-menu.pdf,menu_urls/french-louie.pdf
Italian, Long Island City, Il Falco,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/45823-IlFalco-menu.pdf,menu_urls/il-falco.pdf
American (New), Nomad, The Flatiron Room - NoMad,,
French, Soho, La Sirene,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/38865-LaSirene-menu.pdf,menu_urls/la-sirene.pdf
Mediterranean, Gramercy, Barbounia,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/27737-Barbounia-menu.pdf,menu_urls/barbounia.pdf
American (New), The Seaport, Industry Kitchen,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/42604-IndustryKitchen-menu.pdf,menu_urls/industry-kitchen.pdf
American (Traditional), Chelsea, City Cruises by Hornblower,,
American (Traditional), Upper West Side, 5 Napkin Burger - Upper West Side,,
Italian, East Village, Bar Primi - Bowery,,
American (Traditional), Carroll Gardens, Buttermilk Channel,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/39461-ButtermilkChannel-menu.pdf,menu_urls/buttermilk-channel.pdf
Italian, Murray Hill, Villa Berulia,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/12618-VillaBerulia-menu.pdf,menu_urls/villa-berulia.pdf
Italian, Chelsea, Bocca Di Bacco—Chelsea,,
Chinese, Garment District, Sei Less,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/46461-SeiLess-menu.pdf,menu_urls/sei-less.pdf
Italian, Greenwich Village, Osteria 57,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/41052-Osteria57-menu.pdf,menu_urls/osteria-57.pdf
American (New), Chelsea, The Frying Pan,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/39890-FryingPan-menu.pdf,menu_urls/the-frying-pan.pdf
Middle Eastern, Greenwich Village, Kubeh,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/46004-Kubeh-menu.pdf,menu_urls/kubeh.pdf
Italian, West Village, Suprema Provisions,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/46205-SupremaProvisions-menu.pdf,menu_urls/suprema-provisions.pdf
Mexican, Midtown East, Sinigual,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/34541-Sinigual-menu.pdf,menu_urls/sinigual.pdf
Italian, Lower Manhattan, La Pizza & La Pasta – Eataly NYC Downtown,,
Seafood, Flatiron District, Sagaponack,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/47782-Sagaponack-menu.pdf,menu_urls/sagaponack.pdf
Pan-Asian, Lower East Side, Pig and Khao,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/39110-PigandKhao-menu.pdf,menu_urls/pig-and-khao.pdf
